Dataset,Model,Imbalance Technique,F1-Score (avg),F1-Score (std),F1-Score (avg:std),Recall (avg),Recall (std),Recall (avg:std),Accuracy (avg),Accuracy (std),Accuracy (avg:std),Macro F1 (avg),Macro F1 (std),Macro F1 (avg:std),Weighted F1 (avg),Weighted F1 (std),Weighted F1 (avg:std)
5s_0.5,XGBoost,TomekLinks,0.7241,0.09244,7.83291,0.73546,0.12441,5.91141,0.77415,0.05767,13.42416,0.7653,0.06469,11.82973,0.7739,0.05809,13.32197
3s_no,XGBoost,Baseline (none),0.7228,0.11141,6.48792,0.71195,0.12662,5.62294,0.77908,0.0737,10.5715,0.76856,0.08224,9.34591,0.77833,0.07457,10.43789
2s_0.5,XGBoost,TomekLinks,0.72194,0.06542,11.03484,0.71254,0.10989,6.4839,0.78145,0.04582,17.05459,0.77039,0.04947,15.57143,0.78061,0.0483,16.162
3s_0.5,XGBoost,TomekLinks,0.72086,0.0397,18.15536,0.72494,0.08503,8.5258,0.76856,0.027,28.47017,0.76138,0.02938,25.91259,0.76902,0.02627,29.27783
3s_0.5,XGBoost,SMOTETomek,0.72023,0.03644,19.76311,0.72602,0.09828,7.38698,0.76786,0.02554,30.06986,0.76062,0.02717,27.99793,0.768,0.02496,30.76671
4s_0.8,XGBoost,SMOTETomek,0.71932,0.04179,17.21093,0.7261,0.09955,7.29386,0.76038,0.03258,23.33657,0.75473,0.03356,22.49123,0.76068,0.03319,22.91647
2s_0.5,XGBoost,SMOTETomek,0.71832,0.05856,12.26586,0.72116,0.09461,7.62226,0.77377,0.04076,18.98502,0.76406,0.04404,17.34838,0.77412,0.04113,18.82235
3s_0.5,XGBoost,Baseline (none),0.71829,0.03896,18.43599,0.70573,0.0756,9.33508,0.77138,0.02639,29.23441,0.76277,0.02889,26.40569,0.77112,0.02442,31.57916
5s_0.8,XGBoost,SMOTE,0.71811,0.05885,12.20314,0.71639,0.11098,6.45515,0.75951,0.04659,16.30279,0.75375,0.04821,15.63563,0.75954,0.04777,15.89988
5s_0.5,Random Forest,SMOTETomek,0.71691,0.04594,15.6049,0.72962,0.10852,6.72329,0.76429,0.0156,48.98095,0.75589,0.02149,35.17897,0.76373,0.01822,41.922
5s_0.5,Random Forest,Baseline (none),0.71674,0.08409,8.52356,0.71619,0.13908,5.14954,0.77266,0.04201,18.39085,0.76154,0.05212,14.61147,0.77098,0.04418,17.45274
3s_no,XGBoost,SMOTE,0.71583,0.08044,8.89896,0.71187,0.09622,7.39801,0.76843,0.05476,14.03398,0.75877,0.05962,12.72584,0.76811,0.05524,13.90436
