Dataset,Model,Accuracy (avg),Accuracy (std),Accuracy (avg:std),Macro F1 (avg),Macro F1 (std),Macro F1 (avg:std),Macro Precision (avg),Macro Precision (std),Macro Precision (avg:std),Macro Recall (avg),Macro Recall (std),Macro Recall (avg:std),Weighted F1 (avg),Weighted F1 (std),Weighted F1 (avg:std),Weighted Precision (avg),Weighted Precision (std),Weighted Precision (avg:std),Weighted Recall (avg),Weighted Recall (std),Weighted Recall (avg:std),Precision Pre-Void (avg),Precision Pre-Void (std),Precision Pre-Void (avg:std),Recall Pre-Void (avg),Recall Pre-Void (std),Recall Pre-Void (avg:std),F1-Score Pre-Void (avg),F1-Score Pre-Void (std),F1-Score Pre-Void (avg:std),Precision Void (avg),Precision Void (std),Precision Void (avg:std),Recall Void (avg),Recall Void (std),Recall Void (avg/std),F1-Score Void (avg),F1-Score Void (std),F1-Score Void (avg:std),Precision Post-Void (avg),Precision Post-Void (std),Precision Post-Void (avg:std),Recall Post-Void (avg),Recall Post-Void (std),Recall Post-Void (avg:std),F1-Score Post-Void (avg),F1-Score Post-Void (std),F1-Score Post-Void (avg:std)
3s_0.5,Random Forest,0.72961,0.06057,12.04518,0.71884,0.06062,11.85804,0.73832,0.07245,10.19132,0.71376,0.05797,12.31332,0.7272,0.05884,12.35892,0.73785,0.06487,11.37417,0.72961,0.06057,12.04518,0.72354,0.14119,5.12472,0.59713,0.05795,10.30371,0.64837,0.07458,8.69318,0.7005,0.019,36.87769,0.74359,0.06213,11.96824,0.72033,0.03291,21.88788,0.7909,0.09908,7.98283,0.80056,0.13753,5.82092,0.78783,0.0862,9.13936
4s_0.8,XGBoost,0.72947,0.07953,9.17244,0.71756,0.07956,9.01904,0.74307,0.09241,8.0413,0.71952,0.079,9.10791,0.72474,0.07878,9.19914,0.74423,0.08406,8.85373,0.72947,0.07953,9.17244,0.72148,0.15172,4.75528,0.60674,0.15564,3.89825,0.64281,0.10529,6.10519,0.73042,0.07121,10.25784,0.71091,0.11898,5.97477,0.7115,0.05782,12.30604,0.7773,0.12921,6.01574,0.84092,0.13119,6.40989,0.79837,0.0935,8.53908
4s_0.5,Random Forest,0.72661,0.04362,16.6571,0.71168,0.0591,12.04184,0.73528,0.0491,14.97642,0.71564,0.05595,12.78986,0.71893,0.04994,14.39473,0.73428,0.04421,16.61001,0.72661,0.04362,16.6571,0.74088,0.09983,7.42108,0.6179,0.19184,3.22081,0.64931,0.13736,4.72702,0.69689,0.04386,15.88792,0.74653,0.09074,8.22683,0.71603,0.04094,17.48982,0.76807,0.08597,8.93408,0.78249,0.1492,5.24444,0.76971,0.10066,7.64638
2s_0.8,Random Forest,0.72583,0.06672,10.87894,0.71912,0.07044,10.20851,0.72349,0.06182,11.70271,0.72752,0.06988,10.41154,0.7196,0.07129,10.09417,0.72681,0.06617,10.98428,0.72583,0.06672,10.87894,0.69929,0.04427,15.79427,0.68821,0.12593,5.46487,0.68945,0.08301,8.30612,0.72827,0.08157,8.92834,0.67421,0.1412,4.7748,0.69293,0.10448,6.63243,0.74292,0.07216,10.29495,0.82013,0.13299,6.16694,0.77497,0.08365,9.26477
3s_0.8,XGBoost,0.72419,0.06826,10.60949,0.71595,0.07815,9.16176,0.72728,0.07707,9.43671,0.72307,0.07542,9.58715,0.71754,0.07334,9.7839,0.73061,0.07449,9.80757,0.72419,0.06826,10.60949,0.7074,0.08,8.84274,0.66727,0.15821,4.21758,0.68357,0.12212,5.59769,0.72694,0.07782,9.34181,0.6659,0.14422,4.61734,0.68816,0.09412,7.31143,0.7475,0.12201,6.12632,0.83605,0.12288,6.80402,0.77612,0.06632,11.70337
4s_0.8,Random Forest,0.72074,0.07176,10.04346,0.70247,0.07291,9.63453,0.7308,0.08682,8.41707,0.70266,0.06895,10.19089,0.71407,0.07206,9.90987,0.72979,0.0798,9.14483,0.72074,0.07176,10.04346,0.70956,0.13539,5.24078,0.55832,0.1747,3.19593,0.60339,0.11857,5.08907,0.69477,0.04349,15.97491,0.74629,0.11872,6.286,0.71448,0.05955,11.99836,0.78807,0.11169,7.05589,0.80337,0.12713,6.31932,0.78955,0.09073,8.70219
3s_0.8,Random Forest,0.71883,0.06508,11.04539,0.70758,0.07927,8.92627,0.72157,0.08387,8.60305,0.71391,0.07399,9.64928,0.71089,0.07134,9.96444,0.72558,0.07534,9.63078,0.71883,0.06508,11.04539,0.69181,0.13047,5.30255,0.64673,0.16021,4.03673,0.66635,0.14336,4.64799,0.72085,0.06,12.01496,0.68561,0.15795,4.34071,0.69161,0.08734,7.91824,0.75204,0.11353,6.62419,0.80939,0.15721,5.14838,0.76477,0.07701,9.93049
4s_0.5,XGBoost,0.71695,0.05329,13.45303,0.71125,0.0571,12.45593,0.72753,0.06214,11.7083,0.71442,0.05368,13.30941,0.71406,0.05421,13.17095,0.72724,0.05359,13.56981,0.71695,0.05329,13.45303,0.72546,0.13585,5.3403,0.64998,0.13641,4.76482,0.66683,0.08645,7.71359,0.69836,0.02616,26.69855,0.68371,0.08121,8.41856,0.6887,0.04949,13.91475,0.75877,0.10318,7.35419,0.80956,0.09698,8.34803,0.77822,0.07488,10.39229
1s_0.5,Decision Tree,0.69058,0.04479,15.41663,0.68519,0.04755,14.40935,0.69506,0.0302,23.01685,0.69687,0.0527,13.22431,0.68666,0.04856,14.13972,0.70159,0.04017,17.46718,0.69058,0.04479,15.41663,0.66737,0.08239,8.09984,0.6682,0.16979,3.93547,0.64292,0.07004,9.17965,0.66776,0.06636,10.06286,0.62538,0.06117,10.22302,0.6421,0.03963,16.20302,0.75005,0.08821,8.50289,0.79704,0.07074,11.2672,0.77055,0.06879,11.20123
1s_0.8,Decision Tree,0.68222,0.06859,9.94581,0.67718,0.0713,9.49817,0.67998,0.06583,10.32949,0.6832,0.06999,9.76165,0.67919,0.07194,9.4416,0.68464,0.0678,10.09727,0.68222,0.06859,9.94581,0.65228,0.06869,9.49666,0.66347,0.13696,4.84436,0.65123,0.09193,7.0843,0.65166,0.08651,7.53263,0.6179,0.11801,5.23611,0.63333,0.10217,6.19851,0.73599,0.08026,9.16996,0.76823,0.04953,15.50939,0.74699,0.03868,19.31217
3s_0.8,Decision Tree,0.661,0.04819,13.7162,0.64552,0.05785,11.15885,0.65282,0.04964,13.15215,0.65354,0.0561,11.65045,0.65569,0.05685,11.53457,0.66556,0.05476,12.15423,0.661,0.04819,13.7162,0.58539,0.06734,8.69287,0.57671,0.11877,4.85552,0.57292,0.07648,7.49066,0.69319,0.07314,9.47729,0.63684,0.13401,4.7522,0.65966,0.10118,6.51959,0.67989,0.09757,6.96802,0.74708,0.13735,5.43934,0.70397,0.08506,8.2759
1s_no,Decision Tree,0.64932,0.05297,12.25773,0.64651,0.05342,12.10172,0.64653,0.05359,12.06326,0.65194,0.05477,11.90259,0.64947,0.05274,12.31381,0.65424,0.0543,12.04794,0.64932,0.05297,12.25773,0.5782,0.06941,8.32988,0.65612,0.08971,7.31388,0.61266,0.07068,8.66845,0.63349,0.05783,10.95461,0.61468,0.0661,9.29944,0.62365,0.06073,10.26924,0.72789,0.0535,13.60482,0.68502,0.07965,8.60056,0.7032,0.05393,13.03843
2s_0.5,Decision Tree,0.64795,0.05673,11.42192,0.64016,0.05519,11.59936,0.65416,0.06079,10.76176,0.64378,0.04922,13.08023,0.64437,0.05801,11.10882,0.65712,0.05843,11.24617,0.64795,0.05673,11.42192,0.62151,0.12062,5.15276,0.56485,0.09038,6.24966,0.57996,0.06093,9.5191,0.62901,0.06193,10.15629,0.62452,0.09169,6.81136,0.62376,0.06442,9.68251,0.71197,0.07289,9.76719,0.74198,0.13703,5.41456,0.71676,0.07562,9.47874
