Dataset,Model,Imbalance Technique,F1-Score (avg),F1-Score (std),F1-Score (avg:std),Recall (avg),Recall (std),Recall (avg:std),Accuracy (avg),Accuracy (std),Accuracy (avg:std),Macro F1 (avg),Macro F1 (std),Macro F1 (avg:std),Weighted F1 (avg),Weighted F1 (std),Weighted F1 (avg:std)
2s_0.8,Random Forest,SMOTE,0.60991,0.31062,1.96348,0.61687,0.34669,1.77931,0.75707,0.13979,5.41565,0.68921,0.18277,3.77088,0.73859,0.16078,4.59385
2s_0.8,Random Forest,SMOTETomek,0.60967,0.30685,1.98685,0.61858,0.34935,1.77065,0.75735,0.13174,5.74903,0.68884,0.17664,3.8996,0.73937,0.1516,4.87698
5s_0.5,Decision Tree,SMOTETomek,0.609,0.2592,2.34955,0.66868,0.29069,2.30032,0.69554,0.15767,4.41128,0.65001,0.17925,3.62635,0.68896,0.17687,3.89518
2s_0.5,Random Forest,SMOTE,0.60306,0.29729,2.02852,0.62278,0.33734,1.84615,0.74413,0.14053,5.29522,0.68375,0.17546,3.89691,0.72846,0.15982,4.55817
2s_0.8,Random Forest,Baseline (none),0.603,0.29407,2.05056,0.5925,0.33769,1.75458,0.75735,0.12835,5.90056,0.68905,0.16568,4.15899,0.73935,0.14714,5.02467
1s_0.5,Random Forest,TomekLinks,0.6019,0.30818,1.95307,0.61056,0.352,1.73454,0.75327,0.12692,5.93504,0.68689,0.17539,3.91637,0.73729,0.14554,5.06575
4s_0.8,Decision Tree,Baseline (none),0.59993,0.23292,2.57572,0.6154,0.2602,2.36512,0.68529,0.14775,4.6383,0.63699,0.16352,3.89544,0.68598,0.15304,4.48243
3s_0.5,Decision Tree,SMOTETomek,0.59958,0.22272,2.69207,0.63675,0.26795,2.37637,0.67983,0.14746,4.61019,0.63983,0.1591,4.0216,0.6794,0.14599,4.65383
2s_no,Decision Tree,SMOTE,0.59893,0.22758,2.63173,0.63273,0.27119,2.33317,0.69011,0.14909,4.62875,0.6526,0.15988,4.08175,0.68738,0.15138,4.54076
1s_0.5,Random Forest,Baseline (none),0.59886,0.30394,1.97032,0.60142,0.34957,1.72045,0.75609,0.12849,5.88436,0.68782,0.17275,3.98158,0.73715,0.14883,4.95312
2s_0.5,Decision Tree,SMOTE,0.59878,0.20506,2.92007,0.64018,0.22508,2.84424,0.67413,0.1347,5.00475,0.64244,0.14083,4.56167,0.6757,0.14228,4.74918
2s_0.5,Random Forest,SMOTETomek,0.59816,0.30663,1.95076,0.62231,0.34646,1.7962,0.74266,0.14,5.30477,0.67992,0.1794,3.79002,0.72666,0.15993,4.54362
1s_0.5,Random Forest,SMOTETomek,0.59757,0.31196,1.91553,0.61097,0.35395,1.72614,0.75674,0.123,6.1526,0.68394,0.17138,3.99081,0.73773,0.141,5.23193
4s_0.8,Decision Tree,SMOTE,0.59545,0.22253,2.67585,0.63452,0.25807,2.45868,0.6547,0.17998,3.63761,0.62496,0.18161,3.44117,0.65647,0.17926,3.66215
2s_0.5,Decision Tree,TomekLinks,0.59537,0.21254,2.80119,0.64249,0.24698,2.60137,0.67793,0.13025,5.20493,0.63562,0.14195,4.47782,0.67718,0.13003,5.20797
