Dataset,Model,Imbalance Technique,F1-Score (avg),F1-Score (std),F1-Score (avg:std),Recall (avg),Recall (std),Recall (avg:std),Accuracy (avg),Accuracy (std),Accuracy (avg:std),Macro F1 (avg),Macro F1 (std),Macro F1 (avg:std),Weighted F1 (avg),Weighted F1 (std),Weighted F1 (avg:std)
2s_no,Random Forest,SMOTETomek,0.70314,0.06922,10.15824,0.7178,0.1455,4.93321,0.76125,0.03647,20.87444,0.75057,0.04352,17.24553,0.75926,0.03963,19.15637
3s_no,XGBoost,TomekLinks,0.70299,0.02215,31.73814,0.73732,0.06298,11.70746,0.73994,0.02072,35.70667,0.73578,0.02063,35.66705,0.7409,0.02148,34.49026
1s_0.8,XGBoost,SMOTETomek,0.70236,0.03538,19.85182,0.68548,0.05611,12.21652,0.76053,0.04649,16.3588,0.74931,0.0398,18.82761,0.75885,0.04504,16.85
5s_no,XGBoost,Baseline (none),0.70181,0.05055,13.88481,0.68483,0.10338,6.62436,0.75966,0.03438,22.09419,0.74968,0.0373,20.09777,0.75691,0.0378,20.02536
3s_0.8,XGBoost,TomekLinks,0.70179,0.06033,11.63346,0.67434,0.08777,7.68343,0.75916,0.04868,15.59475,0.74989,0.05055,14.83371,0.75703,0.05051,14.98755
3s_0.8,XGBoost,SMOTETomek,0.70094,0.06317,11.09656,0.67982,0.10383,6.54716,0.75779,0.0476,15.92171,0.74858,0.05042,14.84771,0.75569,0.04993,15.13586
5s_0.5,Random Forest,TomekLinks,0.70061,0.12115,5.78281,0.70359,0.15487,4.54322,0.75487,0.08941,8.44246,0.74634,0.09561,7.80597,0.75311,0.09364,8.0424
3s_0.8,Random Forest,Baseline (none),0.70005,0.0878,7.97345,0.6463,0.11923,5.42056,0.76808,0.06951,11.0496,0.755,0.07211,10.46999,0.76298,0.07263,10.50456
3s_0.5,XGBoost,Baseline (none),0.69908,0.04554,15.35199,0.67242,0.05153,13.04963,0.75608,0.03894,19.41577,0.74672,0.0392,19.04749,0.75439,0.03929,19.19914
1s_0.8,XGBoost,SMOTE,0.69861,0.03112,22.44937,0.68301,0.05987,11.40856,0.75737,0.04497,16.8397,0.74599,0.03794,19.66346,0.75553,0.04364,17.31477
1s_0.8,XGBoost,Baseline (none),0.69681,0.049,14.22023,0.67958,0.08178,8.30996,0.75915,0.04313,17.60262,0.74687,0.04086,18.2781,0.75683,0.04383,17.26567
3s_0.8,Random Forest,SMOTE,0.69673,0.08358,8.33601,0.63287,0.10961,5.77396,0.76838,0.06767,11.35473,0.75438,0.06976,10.81339,0.76273,0.07059,10.8057
3s_0.5,XGBoost,SMOTETomek,0.69666,0.05852,11.90381,0.68326,0.07133,9.57858,0.74975,0.04831,15.521,0.74173,0.0497,14.92533,0.74879,0.04929,15.19225
3s_0.5,Random Forest,TomekLinks,0.69653,0.0767,9.08085,0.69063,0.08601,8.03012,0.74603,0.06892,10.82527,0.73815,0.06955,10.61282,0.74459,0.06912,10.77303
4s_0.8,XGBoost,SMOTE,0.69641,0.06966,9.99774,0.69931,0.11768,5.94245,0.74188,0.05187,14.30293,0.73555,0.05505,13.3605,0.74021,0.05445,13.59475
2s_no,Random Forest,TomekLinks,0.69551,0.06796,10.23409,0.69062,0.12628,5.46894,0.75925,0.04178,18.17446,0.7473,0.04711,15.86398,0.75648,0.04616,16.38774
2s_no,XGBoost,Baseline (none),0.69548,0.04909,14.16758,0.66496,0.08088,8.22105,0.76412,0.03798,20.12015,0.75123,0.03952,19.00824,0.76127,0.03942,19.31272
3s_0.8,XGBoost,SMOTE,0.69541,0.05857,11.8731,0.66381,0.08764,7.57448,0.75574,0.04702,16.07325,0.74573,0.04887,15.25927,0.7532,0.04897,15.38071
3s_0.5,XGBoost,SMOTE,0.69451,0.04282,16.22047,0.6644,0.0458,14.50776,0.75383,0.03543,21.27702,0.74401,0.03613,20.59322,0.75194,0.03593,20.92926
5s_0.8,Random Forest,SMOTE,0.69443,0.11035,6.29304,0.67732,0.17444,3.88277,0.75317,0.05973,12.60856,0.74184,0.0723,10.26009,0.74626,0.07304,10.21662
2s_no,Random Forest,Baseline (none),0.69436,0.07225,9.61116,0.67324,0.13647,4.93328,0.76538,0.04121,18.57409,0.75092,0.0481,15.61114,0.76103,0.04609,16.51026
4s_0.5,XGBoost,TomekLinks,0.69417,0.06123,11.33758,0.70547,0.11149,6.32783,0.74217,0.0402,18.46351,0.73392,0.04309,17.03305,0.74058,0.04191,17.66994
5s_0.8,Random Forest,Baseline (none),0.69381,0.11111,6.24439,0.66944,0.16068,4.16628,0.75239,0.0675,11.1468,0.74202,0.07793,9.52145,0.74658,0.0786,9.4986
