Dataset,Model,Imbalance Technique,F1-Score (avg),F1-Score (std),F1-Score (avg:std),Recall (avg),Recall (std),Recall (avg:std),Accuracy (avg),Accuracy (std),Accuracy (avg:std),Macro F1 (avg),Macro F1 (std),Macro F1 (avg:std),Weighted F1 (avg),Weighted F1 (std),Weighted F1 (avg:std)
2s_no,Random Forest,SMOTETomek,0.71945,0.12287,5.85528,0.73882,0.1768,4.17876,0.77497,0.09465,8.18812,0.76326,0.09905,7.70589,0.77394,0.09658,8.01362
5s_0.5,XGBoost,Baseline (none),0.71923,0.10397,6.91781,0.70911,0.14991,4.73029,0.77401,0.08803,8.79295,0.76175,0.08796,8.66003,0.77132,0.09074,8.50015
5s_0.8,XGBoost,TomekLinks,0.71887,0.09344,7.69323,0.70983,0.11973,5.92884,0.75724,0.08123,9.32216,0.74952,0.08164,9.1808,0.75588,0.08306,9.10083
5s_no,Random Forest,SMOTETomek,0.7179,0.18041,3.97923,0.76184,0.23463,3.24695,0.76518,0.13393,5.71316,0.75576,0.1413,5.34862,0.76336,0.13724,5.56234
5s_0.8,XGBoost,Baseline (none),0.71784,0.10431,6.88192,0.70315,0.1382,5.08787,0.76221,0.08171,9.32769,0.75283,0.08395,8.96731,0.75997,0.08464,8.97875
5s_0.8,Random Forest,TomekLinks,0.71763,0.1023,7.01528,0.70801,0.15155,4.67177,0.75942,0.08642,8.78737,0.75089,0.08747,8.58505,0.75658,0.09078,8.334
3s_no,XGBoost,Baseline (none),0.71662,0.10193,7.03037,0.7069,0.14704,4.80759,0.77348,0.07987,9.68368,0.76085,0.08269,9.20132,0.77159,0.08176,9.43716
2s_no,Random Forest,TomekLinks,0.71589,0.10332,6.92893,0.71995,0.15765,4.56668,0.77474,0.08365,9.26129,0.76199,0.08559,8.90329,0.77331,0.08447,9.15452
3s_no,XGBoost,TomekLinks,0.71579,0.10991,6.51271,0.72494,0.15641,4.63473,0.76585,0.08995,8.51418,0.75354,0.09192,8.19819,0.7644,0.0906,8.43682
2s_no,Random Forest,SMOTE,0.7156,0.09157,7.81434,0.70672,0.13334,5.30003,0.77499,0.07934,9.76788,0.76197,0.07946,9.58961,0.77321,0.08043,9.61362
