exp_id,three_class_label,two_class_label,two_class_pred,two_class_pred_num,two_class_pred_prob,three_class_pred
25,void,non-void,void,1,0.7349391,pre-void
25,void,non-void,void,1,0.51291484,pre-void
25,void,non-void,non-void,0,0.11719888,pre-void
25,void,non-void,non-void,0,0.054515414,pre-void
25,void,non-void,non-void,0,0.04773278,pre-void
25,void,void,non-void,0,0.016197605,pre-void
25,void,void,non-void,0,0.36850417,pre-void
25,void,void,void,1,0.6977141,pre-void
25,void,void,non-void,0,0.11060815,pre-void
25,void,void,non-void,0,0.0992699,pre-void
25,void,void,non-void,0,0.4002621,pre-void
25,void,void,non-void,0,0.4445175,pre-void
25,void,void,void,1,0.7671229,pre-void
25,void,void,void,1,0.6993716,pre-void
25,void,void,void,1,0.85414445,pre-void
25,void,void,non-void,0,0.1195139,pre-void
25,void,void,non-void,0,0.12165194,pre-void
25,void,void,void,1,0.5240655,pre-void
25,void,void,non-void,0,0.12855068,pre-void
25,void,void,non-void,0,0.39253375,pre-void
25,void,void,non-void,0,0.4861632,pre-void
25,void,void,void,1,0.7009162,pre-void
25,void,void,void,1,0.54486275,pre-void
25,void,void,non-void,0,0.10146237,pre-void
25,void,void,non-void,0,0.015561279,pre-void
25,void,void,non-void,0,0.058171708,pre-void
25,void,void,non-void,0,0.43715852,void
25,void,void,void,1,0.7848443,void
25,void,void,void,1,0.6946906,void
25,void,void,void,1,0.73694146,void
25,void,void,void,1,0.59776443,void
25,void,void,void,1,0.765603,void
25,void,void,void,1,0.78199273,void
25,void,void,non-void,0,0.47820473,void
25,void,void,void,1,0.84810466,void
25,void,void,non-void,0,0.49327645,void
25,void,void,void,1,0.6065045,void
25,void,void,void,1,0.64579,void
25,void,void,non-void,0,0.30455956,void
25,void,void,non-void,0,0.4652276,void
25,void,void,non-void,0,0.2961985,void
25,void,void,non-void,0,0.015273551,void
25,void,non-void,non-void,0,0.040613677,void
25,void,non-void,non-void,0,0.1044304,void
25,void,non-void,non-void,0,0.16341457,post-void
25,void,non-void,non-void,0,0.07865554,post-void
25,void,non-void,non-void,0,0.09006183,post-void
25,void,non-void,non-void,0,0.040754173,post-void
25,void,non-void,non-void,0,0.054691684,post-void
25,void,non-void,non-void,0,0.055938724,post-void
25,void,non-void,non-void,0,0.030170543,post-void
25,void,non-void,non-void,0,0.04998243,post-void
25,void,non-void,non-void,0,0.024025692,post-void
25,void,non-void,non-void,0,0.024082214,post-void
25,post-void,non-void,non-void,0,0.014484808,post-void
25,post-void,non-void,non-void,0,0.20158398,post-void
25,post-void,non-void,non-void,0,0.002117345,post-void
25,post-void,non-void,non-void,0,0.004723829,post-void
25,post-void,non-void,non-void,0,0.0430611,post-void
25,post-void,non-void,non-void,0,0.08375409,post-void
25,post-void,non-void,non-void,0,0.0029193233,post-void
25,post-void,non-void,non-void,0,0.003216978,post-void
25,post-void,non-void,non-void,0,0.001544355,post-void
26,post-void,non-void,non-void,0,0.05772541,pre-void
26,post-void,non-void,non-void,0,0.007122612,pre-void
26,post-void,non-void,non-void,0,0.014846588,pre-void
26,post-void,non-void,non-void,0,0.009695529,pre-void
26,post-void,non-void,non-void,0,0.01937689,pre-void
26,post-void,non-void,non-void,0,0.017132387,pre-void
26,post-void,non-void,non-void,0,0.0022675984,pre-void
26,post-void,non-void,non-void,0,0.0022675984,pre-void
26,post-void,non-void,non-void,0,0.0061989445,pre-void
26,post-void,non-void,non-void,0,0.042128,pre-void
26,post-void,non-void,non-void,0,0.09123821,pre-void
26,post-void,non-void,non-void,0,0.20255874,pre-void
26,post-void,non-void,non-void,0,0.10948523,pre-void
26,post-void,non-void,non-void,0,0.05974472,pre-void
26,post-void,non-void,non-void,0,0.038700357,pre-void
26,post-void,non-void,void,1,0.64918435,void
26,post-void,void,non-void,0,0.46533966,void
26,post-void,void,void,1,0.55791646,void
26,post-void,void,void,1,0.7653143,void
26,post-void,void,void,1,0.6917263,void
26,post-void,void,void,1,0.5558632,void
