Dataset,Model,Imbalance Technique,F1-Score (avg),F1-Score (std),F1-Score (avg:std),Recall (avg),Recall (std),Recall (avg:std),Accuracy (avg),Accuracy (std),Accuracy (avg:std),Macro F1 (avg),Macro F1 (std),Macro F1 (avg:std),Weighted F1 (avg),Weighted F1 (std),Weighted F1 (avg:std)
3s_0.5,XGBoost,TomekLinks,0.61261,0.06392,9.58416,0.62466,0.1371,4.55611,0.67996,0.09497,7.1594,0.6647,0.07783,8.5407,0.67929,0.09546,7.1157
3s_0.5,XGBoost,SMOTETomek,0.6331,0.0854,7.41328,0.64764,0.13638,4.74863,0.69369,0.10857,6.38948,0.68084,0.09689,7.02713,0.69413,0.10884,6.37748
3s_0.8,XGBoost,Baseline (none),0.57914,0.10233,5.65969,0.5606,0.16455,3.40699,0.67336,0.13547,4.97059,0.64943,0.1161,5.59386,0.66888,0.14053,4.7598
3s_0.8,XGBoost,SMOTE,0.59439,0.09009,6.59764,0.60503,0.16528,3.66063,0.67527,0.11888,5.68022,0.65346,0.09977,6.54968,0.67439,0.1227,5.49623
3s_0.8,XGBoost,TomekLinks,0.59678,0.10391,5.74316,0.60432,0.17194,3.51469,0.67711,0.13192,5.13277,0.65679,0.11507,5.70778,0.67624,0.13637,4.95885
3s_0.8,XGBoost,SMOTETomek,0.59231,0.0935,6.3351,0.60619,0.15942,3.80242,0.67122,0.1227,5.47031,0.65043,0.10433,6.23436,0.67115,0.12683,5.29185
4s_no,XGBoost,Baseline (none),0.5971,0.11473,5.20444,0.61808,0.1973,3.13263,0.67474,0.10986,6.14179,0.65736,0.10285,6.39169,0.67179,0.11364,5.91132
4s_no,XGBoost,SMOTE,0.61588,0.10942,5.62857,0.65576,0.19526,3.35837,0.67907,0.10993,6.1775,0.66576,0.10357,6.42826,0.67918,0.1135,5.98392
4s_no,XGBoost,TomekLinks,0.61991,0.12074,5.13427,0.6638,0.2086,3.18215,0.6885,0.10375,6.63613,0.67181,0.10013,6.70956,0.68591,0.10979,6.24761
4s_no,XGBoost,SMOTETomek,0.62968,0.11042,5.7025,0.67246,0.19915,3.37672,0.69146,0.11384,6.07398,0.67866,0.10792,6.28872,0.69207,0.11739,5.89531
4s_0.5,XGBoost,Baseline (none),0.56641,0.12659,4.47433,0.55685,0.18467,3.01534,0.67539,0.10549,6.40216,0.64628,0.0982,6.58135,0.66771,0.11673,5.72028
4s_0.5,XGBoost,SMOTE,0.60309,0.13691,4.405,0.60897,0.18735,3.25036,0.68941,0.11074,6.22559,0.66668,0.10634,6.26932,0.68521,0.11916,5.75043
4s_0.5,XGBoost,TomekLinks,0.62073,0.11391,5.44919,0.63759,0.16507,3.86242,0.69894,0.09536,7.32971,0.6782,0.0875,7.75076,0.6975,0.10101,6.90502
4s_0.5,XGBoost,SMOTETomek,0.61628,0.12903,4.77628,0.63401,0.18188,3.48576,0.69758,0.10303,6.77041,0.67524,0.09708,6.95566,0.6949,0.10973,6.33288
4s_0.8,XGBoost,Baseline (none),0.60619,0.12559,4.82658,0.60103,0.18781,3.20024,0.6893,0.1264,5.45311,0.66834,0.11407,5.85896,0.68488,0.13335,5.13597
4s_0.8,XGBoost,SMOTE,0.62173,0.11508,5.40262,0.64259,0.1733,3.70798,0.68407,0.12614,5.4232,0.66862,0.11337,5.89773,0.68293,0.13069,5.2254
